Theta,Growth,samplingSize,n.haplotypes,n.seg.sites
ten,no,16,8,28
ten,no,16,8,26
ten,no,16,10,34
ten,no,16,11,31
ten,no,16,8,22
ten,no,16,9,30
ten,no,16,12,35
ten,no,16,7,29
ten,no,16,13,37
ten,no,16,10,31
ten,no,16,9,23
ten,no,16,11,34
ten,no,16,12,36
ten,no,16,7,26
ten,no,16,10,31
ten,no,16,9,30
ten,no,16,9,29
ten,no,16,7,28
ten,no,16,9,29
ten,no,16,11,34
ten,no,16,11,28
ten,no,16,11,30
ten,no,16,10,29
ten,no,16,11,34
ten,no,16,11,32
ten,no,16,11,33
ten,no,16,9,30
ten,no,16,11,33
ten,no,16,7,25
ten,no,16,11,31
ten,no,16,11,33
ten,no,16,9,30
ten,no,16,9,30
ten,no,16,10,29
ten,no,16,8,27
ten,no,16,10,33
ten,no,16,11,34
ten,no,16,12,33
ten,no,16,9,28
ten,no,16,10,34
ten,no,16,10,32
ten,no,16,8,30
ten,no,16,13,35
ten,no,16,9,30
ten,no,16,10,31
ten,no,16,12,33
ten,no,16,9,32
ten,no,16,9,27
ten,no,16,10,30
ten,no,16,7,27
ten,no,16,10,31
ten,no,16,11,31
ten,no,16,10,33
ten,no,16,9,31
ten,no,16,10,29
ten,no,16,10,32
ten,no,16,9,29
ten,no,16,9,28
ten,no,16,8,31
ten,no,16,8,33
ten,no,16,10,31
ten,no,32,16,38
ten,no,32,12,33
ten,no,32,16,39
ten,no,32,15,38
ten,no,32,14,32
ten,no,32,17,39
ten,no,32,14,33
ten,no,32,20,43
ten,no,32,14,37
ten,no,32,15,38
ten,no,32,16,37
ten,no,32,15,38
ten,no,32,15,36
ten,no,32,18,43
ten,no,32,15,35
ten,no,32,12,35
ten,no,32,16,38
ten,no,32,13,35
ten,no,32,16,40
ten,no,32,16,37
ten,no,32,14,38
ten,no,32,14,35
ten,no,32,16,39
ten,no,32,15,38
ten,no,32,15,38
ten,no,32,16,39
ten,no,32,11,34
ten,no,32,13,35
ten,no,32,16,36
ten,no,32,14,35
ten,no,32,13,36
ten,no,32,17,40
ten,no,32,16,38
ten,no,32,16,40
ten,no,32,18,40
ten,no,32,15,39
ten,no,32,14,35
ten,no,32,15,36
ten,no,32,16,37
ten,no,32,9,29
ten,no,32,15,36
ten,no,32,13,33
ten,no,32,15,37
ten,no,32,14,38
ten,no,32,13,34
ten,no,32,12,33
ten,no,32,13,36
ten,no,32,17,40
ten,no,32,12,32
ten,no,32,14,36
ten,no,32,14,34
ten,no,32,17,37
ten,no,32,15,37
ten,no,32,15,33
ten,no,32,10,33
ten,no,32,16,37
ten,no,32,12,35
ten,no,32,14,35
ten,no,32,15,37
ten,no,32,15,36
ten,no,32,13,36
ten,no,32,16,40
ten,no,32,14,35
ten,no,32,16,38
ten,no,32,13,36
ten,no,32,13,34
ten,no,32,12,32
ten,no,32,14,35
ten,no,32,17,39
ten,no,32,13,33
ten,no,32,17,40
ten,no,32,16,39
ten,no,32,16,37
ten,no,32,15,38
ten,no,32,13,35
ten,no,32,14,38
ten,no,32,17,39
ten,no,32,11,29
ten,no,32,12,32
ten,no,32,13,35
ten,no,32,13,37
ten,no,32,11,29
ten,no,32,12,31
ten,no,32,15,39
ten,no,32,15,39
ten,no,32,14,34
ten,no,32,14,37
ten,no,32,14,36
ten,no,32,13,35
ten,no,32,13,33
ten,no,32,16,38
ten,no,32,15,38
ten,no,32,14,37
ten,no,32,16,38
ten,no,32,12,30
ten,no,32,18,41
ten,no,32,16,38
ten,no,32,16,40
ten,no,32,14,35
ten,no,32,16,40
ten,no,64,18,41
ten,no,64,21,43
ten,no,64,18,41
ten,no,64,20,44
ten,no,64,18,40
ten,no,64,19,43
ten,no,64,25,47
ten,no,64,23,46
ten,no,64,20,43
ten,no,64,20,43
ten,no,64,22,45
ten,no,64,23,46
ten,no,64,20,43
ten,no,64,20,43
ten,no,64,21,44
ten,no,64,21,44
ten,no,64,19,41
ten,no,64,20,41
ten,no,64,20,42
ten,no,64,20,42
ten,no,64,20,44
ten,no,64,19,41
ten,no,64,18,41
ten,no,64,20,41
ten,no,64,23,45
ten,no,64,20,42
ten,no,64,21,44
ten,no,64,24,47
ten,no,64,18,41
ten,no,64,22,46
ten,no,64,20,42
ten,no,64,18,41
ten,no,64,22,43
ten,no,64,20,43
ten,no,64,25,49
ten,no,64,18,40
ten,no,64,25,48
ten,no,64,17,38
ten,no,64,22,45
ten,no,64,23,45
ten,no,64,16,38
ten,no,64,21,44
ten,no,64,21,45
ten,no,64,20,41
ten,no,64,17,38
ten,no,64,23,45
ten,no,64,18,40
ten,no,64,20,44
ten,no,64,22,44
ten,no,64,15,38
ten,no,64,23,46
ten,no,64,21,45
ten,no,64,21,43
ten,no,64,17,39
ten,no,64,17,39
ten,no,64,19,40
ten,no,64,19,41
ten,no,64,22,44
ten,no,64,22,46
ten,no,64,25,47
ten,no,64,24,47
ten,no,64,19,43
ten,no,64,24,47
ten,no,64,19,41
ten,no,64,21,44
ten,no,64,20,43
ten,no,64,20,45
ten,no,64,22,45
ten,no,64,23,46
ten,no,64,20,42
ten,no,64,23,46
ten,no,64,22,44
ten,no,64,21,42
ten,no,64,21,44
ten,no,64,22,46
ten,no,64,18,41
ten,no,64,24,47
ten,no,64,23,47
ten,no,64,23,45
ten,no,64,19,41
ten,no,64,24,47
ten,no,64,23,46
ten,no,64,22,45
ten,no,64,20,43
ten,no,64,19,42
ten,no,64,18,41
ten,no,64,17,37
ten,no,64,22,45
ten,no,64,21,44
ten,no,64,22,44
ten,no,64,20,42
ten,no,64,22,45
ten,no,64,15,36
ten,no,64,22,45
ten,no,64,18,40
