Theta,n,segSites,prob
ten,10,9,0.010134793
ten,11,9,0.007963968
ten,12,9,0.006286762
ten,13,9,0.004988038
ten,14,9,0.003978726
ten,15,9,0.003190832
ten,16,9,0.002572752
ten,17,9,0.002085384
ten,18,9,0.001699068
ten,19,9,0.001391246
ten,20,9,0.001144701
ten,21,9,0.000946235
ten,22,9,0.000785684
ten,23,9,0.000655184
ten,24,9,0.00054862
ten,25,9,0.000461212
ten,26,9,0.000389208
ten,27,9,0.000329648
ten,28,9,0.000280183
ten,29,9,0.000238945
ten,30,9,0.000204437
ten,31,9,0.000175458
ten,32,9,0.000151039
ten,33,9,0.000130394
twenty,1,9,0
twenty,2,9,0.030695663
twenty,3,9,0.022836996
twenty,4,9,0.013501707
twenty,5,9,0.007466384
twenty,6,9,0.004050046
twenty,7,9,0.00219624
twenty,8,9,0.001200958
twenty,9,9,0.00066497
twenty,10,9,0.000373545
twenty,11,9,0.000213054
twenty,12,9,0.000123396
twenty,13,9,7.26E-05
twenty,14,9,4.33E-05
twenty,15,9,2.62E-05
twenty,16,9,1.61E-05
twenty,17,9,1.00E-05
twenty,18,9,6.30E-06
twenty,19,9,4.01E-06
twenty,20,9,2.58E-06
twenty,21,9,1.68E-06
twenty,22,9,1.11E-06
twenty,23,9,7.37E-07
twenty,24,9,4.95E-07
twenty,25,9,3.35E-07
twenty,26,9,2.29E-07
twenty,27,9,1.58E-07
twenty,28,9,1.10E-07
twenty,29,9,7.67E-08
twenty,30,9,5.40E-08
twenty,31,9,3.83E-08
twenty,32,9,2.71E-08
twenty,33,9,1.87E-08
two,1,10,0
two,2,10,0.00578051
two,3,10,0.011072739
two,4,10,0.015939601
two,5,10,0.020432721
two,6,10,0.024595022
two,7,10,0.028462602
two,8,10,0.032066119
two,9,10,0.035431838
two,10,10,0.038582436
two,11,10,0.041537625
two,12,10,0.04431465
two,13,10,0.04692868
two,14,10,0.049393126
two,15,10,0.051719901
two,16,10,0.053919636
two,17,10,0.056001848
two,18,10,0.057975096
two,19,10,0.059847098
two,20,10,0.061624839
two,21,10,0.063314658
two,22,10,0.064922323
two,23,10,0.066453098
two,24,10,0.067911796
two,25,10,0.06930283
two,26,10,0.070630255
two,27,10,0.071897804
two,28,10,0.073108918
two,29,10,0.074266779
two,30,10,0.075374333
two,31,10,0.076434311
two,32,10,0.077449248
two,33,10,0.078421503
ten,1,10,0
ten,2,10,0.03504939
ten,3,10,0.043181183
ten,4,10,0.041134952
ten,5,10,0.035772666
ten,6,10,0.029859201
ten,7,10,0.024432244
ten,8,10,0.019804083
ten,9,10,0.015992989
ten,10,10,0.012909728
ten,11,10,0.010436848
ten,12,10,0.008460617
ten,13,10,0.006882172
ten,14,10,0.005619804
ten,15,10,0.004607733
ten,16,10,0.00379374
ten,17,10,0.00313668
ten,18,10,0.002604231
ten,19,10,0.002171022
ten,20,10,0.001817119
ten,21,10,0.001526824
ten,22,10,0.001287747
ten,23,10,0.001090071
ten,24,10,0.000925995
ten,25,10,0.000789294
ten,26,10,0.000674984
ten,27,10,0.000579057
ten,28,10,0.00049828
ten,29,10,0.000430034
ten,30,10,0.000372189
ten,31,10,0.000323006
ten,32,10,0.000281063
ten,33,10,0.000245189
twenty,1,10,0
twenty,2,10,0.029233964
twenty,3,10,0.023418539
twenty,4,10,0.014795207
twenty,5,10,0.008687855
twenty,6,10,0.004977608
twenty,7,10,0.002838094
twenty,8,10,0.0016254
twenty,9,10,0.000939379
twenty,10,10,0.000549149
twenty,11,10,0.000325085
twenty,12,10,0.000194963
twenty,13,10,0.000118461
twenty,14,10,7.29E-05
twenty,15,10,4.54E-05
twenty,16,10,2.87E-05
twenty,17,10,1.83E-05
twenty,18,10,1.18E-05
twenty,19,10,7.70E-06
twenty,20,10,5.08E-06
twenty,21,10,3.38E-06
twenty,22,10,2.27E-06
twenty,23,10,1.54E-06
twenty,24,10,1.05E-06
twenty,25,10,7.28E-07
twenty,26,10,5.06E-07
twenty,27,10,3.55E-07
twenty,28,10,2.50E-07
twenty,29,10,1.78E-07
twenty,30,10,1.27E-07
twenty,31,10,9.16E-08
twenty,32,10,6.63E-08
twenty,33,10,4.79E-08
two,1,11,0
two,2,11,0.003853673
two,3,11,0.007463206
two,4,11,0.010853764
two,5,11,0.014046749
