Pop,Theta,Growth,samplingSize,n.haplotypes
2,two,no,64,6
2,two,no,64,7
2,two,no,64,8
2,two,no,64,5
2,two,no,64,6
2,two,no,64,7
2,two,no,64,10
2,two,no,64,8
2,two,no,64,7
2,two,no,64,6
2,two,no,64,5
2,two,no,64,6
2,two,no,64,6
2,two,no,64,8
2,two,no,64,9
2,two,no,64,5
2,two,no,64,4
2,two,no,64,7
2,two,no,64,9
2,two,no,64,7
2,two,no,64,5
2,two,no,64,6
2,two,no,64,6
2,two,no,64,7
2,two,no,64,6
2,two,no,64,7
2,two,no,64,5
2,two,no,64,8
2,two,no,64,3
2,two,no,64,5
2,two,no,64,7
2,two,no,64,6
2,two,no,64,8
2,two,no,64,5
2,two,no,64,7
2,two,no,64,7
2,two,no,64,5
2,two,no,64,6
2,two,no,64,7
2,two,no,64,7
2,two,no,64,8
2,two,no,64,5
2,two,no,64,7
2,two,no,64,7
2,two,no,64,8
2,two,no,64,9
2,two,no,64,7
2,two,no,64,7
2,two,no,64,6
2,two,no,64,9
2,two,no,64,5
2,two,no,64,5
2,two,no,64,8
2,two,no,64,6
2,two,no,64,7
2,two,no,64,7
2,two,no,64,8
2,two,no,64,6
2,two,no,64,4
2,two,no,64,8
2,two,no,64,7
2,two,no,64,6
2,two,no,64,6
2,two,no,64,8
2,two,no,64,6
2,two,no,64,7
2,two,no,64,6
2,two,no,64,7
2,two,no,64,4
2,two,no,64,5
2,two,no,64,9
2,two,no,64,7
2,two,no,64,6
2,two,no,64,6
2,two,no,128,7
2,two,no,128,4
2,two,no,128,8
2,two,no,128,11
2,two,no,128,9
2,two,no,128,10
2,two,no,128,9
2,two,no,128,8
2,two,no,128,10
2,two,no,128,10
2,two,no,128,7
2,two,no,128,6
2,two,no,128,10
2,two,no,128,9
2,two,no,128,9
2,two,no,128,9
