Pop,Theta,samplingSize,n.seg.sites
2,ten,2,15
2,ten,2,15
2,ten,2,13
2,ten,2,16
2,ten,2,1
2,ten,2,19
2,ten,2,0
2,ten,2,0
2,ten,2,4
2,ten,2,11
2,ten,2,10
2,ten,2,0
2,ten,2,16
2,ten,2,3
2,ten,2,15
2,ten,2,16
2,ten,2,1
2,ten,2,16
2,ten,2,2
2,ten,2,4
2,ten,2,18
2,ten,2,11
2,ten,2,4
2,ten,2,16
2,ten,2,15
2,ten,2,2
2,ten,2,15
2,ten,2,2
2,ten,2,5
2,ten,2,15
2,ten,2,0
2,ten,2,0
2,ten,2,19
2,ten,2,0
2,ten,2,18
2,ten,2,19
2,ten,2,13
2,ten,2,0
2,ten,2,14
2,ten,4,18
2,ten,4,23
2,ten,4,14
2,ten,4,25
2,ten,4,25
2,ten,4,24
2,ten,4,23
2,ten,4,23
2,ten,4,18
2,ten,4,21
2,ten,4,23
2,ten,4,27
2,ten,4,16
2,ten,4,8
2,ten,4,16
2,ten,4,19
2,ten,4,19
2,ten,4,15
2,ten,4,18
2,ten,4,22
2,ten,4,22
2,ten,4,22
2,ten,4,22
2,ten,4,19
2,ten,4,22
2,ten,4,17
2,ten,4,21
2,ten,4,17
2,ten,4,26
2,ten,4,22
2,ten,4,20
2,ten,4,16
2,ten,4,24
2,ten,4,18
2,ten,4,22
2,ten,4,23
2,ten,4,20
2,ten,4,19
2,ten,4,15
2,ten,4,21
2,ten,4,24
2,ten,4,14
2,ten,4,16
2,ten,4,19
2,ten,4,4
2,ten,4,23
2,ten,4,22
2,ten,4,21
2,ten,4,19
2,ten,4,12
2,ten,4,25
2,ten,4,22
2,ten,4,20
2,ten,4,26
2,ten,4,23
2,ten,4,17
2,ten,4,28
2,ten,4,19
2,ten,4,24
2,ten,4,17
2,ten,4,16
2,ten,4,26
2,ten,4,19
2,ten,4,19
2,ten,4,19
2,ten,4,23
2,ten,4,16
2,ten,4,22
2,ten,4,16
2,ten,4,20
2,ten,4,22
2,ten,4,18
2,ten,4,22
2,ten,4,21
2,ten,4,19
2,ten,4,20
2,ten,4,18
2,ten,4,13
2,ten,4,14
2,ten,4,22
2,ten,4,17
2,ten,4,22
2,ten,4,18
2,ten,4,21
2,ten,4,12
2,ten,4,22
2,ten,4,25
2,ten,4,18
2,ten,4,22
2,ten,4,18
2,ten,4,21
2,ten,4,15
2,ten,4,19
2,ten,4,23
2,ten,4,20
2,ten,4,22
2,ten,4,17
2,ten,4,19
2,ten,4,6
2,ten,4,19
2,ten,8,26
2,ten,8,26
2,ten,8,26
