"","Pop","Theta","Growth","samplingSize","n.seg.sites"
"584",1,"two","yes","64",5
"585",1,"two","yes","64",6
"586",1,"two","yes","64",5
"587",1,"two","yes","64",6
"588",1,"two","yes","64",7
"589",1,"two","yes","64",6
"590",1,"two","yes","64",5
"591",1,"two","yes","64",6
"592",1,"two","yes","64",5
"593",1,"two","yes","64",7
"594",1,"two","yes","64",7
"595",1,"two","yes","64",6
"596",1,"two","yes","64",6
"597",1,"two","yes","64",6
"598",1,"two","yes","64",6
"599",1,"two","yes","64",7
"600",1,"two","yes","64",5
"601",1,"two","yes","64",5
"602",1,"two","yes","128",6
"603",1,"two","yes","128",8
"604",1,"two","yes","128",6
"605",1,"two","yes","128",10
"606",1,"two","yes","128",4
"607",1,"two","yes","128",6
"608",1,"two","yes","128",6
"609",1,"two","yes","128",6
"610",1,"two","yes","128",6
"611",1,"two","yes","128",5
"612",1,"two","yes","128",8
"613",1,"two","yes","128",7
"614",1,"two","yes","128",6
"615",1,"two","yes","128",7
"616",1,"two","yes","128",6
"617",1,"two","yes","128",5
"618",1,"two","yes","128",6
"619",1,"two","yes","128",8
"620",1,"two","yes","128",7
"621",1,"two","yes","128",8
"622",1,"two","yes","128",8
"623",1,"two","yes","128",7
"624",1,"two","yes","128",10
"625",1,"two","yes","128",6
"626",1,"two","yes","128",5
"627",1,"two","yes","128",7
"628",1,"two","yes","128",9
"629",1,"two","yes","128",6
"630",1,"two","yes","128",7
"631",1,"two","yes","128",7
"632",1,"two","yes","128",7
"633",1,"two","yes","128",8
"634",1,"two","yes","128",6
"635",1,"two","yes","128",6
"636",1,"two","yes","128",7
"637",1,"two","yes","128",8
"638",1,"two","yes","128",6
"639",1,"two","yes","128",7
"640",1,"two","yes","128",7
"641",1,"two","yes","128",5
"642",1,"two","yes","128",6
"643",1,"two","yes","128",7
"644",1,"two","yes","128",6
"645",1,"two","yes","128",6
"646",1,"two","yes","128",7
"647",1,"two","yes","128",6
"648",1,"two","yes","128",8
"649",1,"two","yes","128",5
"650",1,"two","yes","128",10
"651",1,"two","yes","128",7
"652",1,"two","yes","128",6
"653",1,"two","yes","128",6
"654",1,"two","yes","128",8
"655",1,"two","yes","128",6
"656",1,"two","yes","128",6
"657",1,"two","yes","128",6
"658",1,"two","yes","128",5
"659",1,"two","yes","128",7
"660",1,"two","yes","128",7
"661",1,"two","yes","128",7
"662",1,"two","yes","128",5
"663",1,"two","yes","128",6
"664",1,"two","yes","128",6
"665",1,"two","yes","128",10
"666",1,"two","yes","128",6
"667",1,"two","yes","128",7
"668",1,"two","yes","128",6
"669",1,"two","yes","128",8
"670",1,"two","yes","128",5
"671",1,"two","yes","128",8
"672",1,"two","yes","128",8
"673",1,"two","yes","128",7
"674",1,"two","yes","128",11
"675",1,"two","yes","128",7
"676",1,"two","yes","128",6
"677",1,"two","yes","128",6
"678",1,"two","yes","128",5
"679",1,"two","yes","128",8
"680",1,"two","yes","128",7
"681",1,"two","yes","128",9
"682",1,"two","yes","128",7
"683",1,"two","yes","128",7
"684",1,"two","yes","128",6
"685",1,"two","yes","128",6
"686",1,"two","yes","128",7
"687",1,"two","yes","128",5
"688",1,"two","yes","128",8
"689",1,"two","yes","128",8
"690",1,"two","yes","128",6
"691",1,"two","yes","128",6
"692",1,"two","yes","128",7
"693",1,"two","yes","128",7
"694",1,"two","yes","128",7
"695",1,"two","yes","128",8
"696",1,"two","yes","128",7
"697",1,"two","yes","128",6
"698",1,"two","yes","128",8
"699",1,"two","yes","128",8
"700",1,"two","yes","128",8
"701",1,"two","yes","128",7
"702",2,"two","no","2",1
"703",2,"two","no","2",0
"704",2,"two","no","2",0
"705",2,"two","no","2",0
"706",2,"two","no","2",0
"707",2,"two","no","2",0
"708",2,"two","no","2",0
"709",2,"two","no","2",0
"710",2,"two","no","2",0
"711",2,"two","no","2",0
"712",2,"two","no","2",0
"713",2,"two","no","2",0
"714",2,"two","no","2",0
"715",2,"two","no","2",2
"716",2,"two","no","2",0
"717",2,"two","no","2",0
"718",2,"two","no","2",0
"719",2,"two","no","2",0
"720",2,"two","no","2",0
"721",2,"two","no","2",2
"722",2,"two","no","2",0
"723",2,"two","no","2",0
"724",2,"two","no","2",0
"725",2,"two","no","2",0
"726",2,"two","no","2",0
"727",2,"two","no","2",3
"728",2,"two","no","2",1
"729",2,"two","no","2",0
"730",2,"two","no","2",0
"731",2,"two","no","2",0
"732",2,"two","no","2",1
"733",2,"two","no","2",0
"734",2,"two","no","2",0
"735",2,"two","no","2",0
"736",2,"two","no","2",2
"737",2,"two","no","2",0
"738",2,"two","no","2",2
"739",2,"two","no","2",2
"740",2,"two","no","2",2
"741",2,"two","no","2",0
"742",2,"two","no","2",0
"743",2,"two","no","2",1
"744",2,"two","no","2",2
"745",2,"two","no","2",0
"746",2,"two","no","2",0
"747",2,"two","no","2",0
"748",2,"two","no","2",0
"749",2,"two","no","2",0
"750",2,"two","no","2",0
"751",2,"two","no","2",0
"752",2,"two","no","2",0
"753",2,"two","no","2",0
"754",2,"two","no","2",0
"755",2,"two","no","2",0
"756",2,"two","no","2",0
"757",2,"two","no","2",0
"758",2,"two","no","2",0
"759",2,"two","no","2",0
"760",2,"two","no","2",1
"761",2,"two","no","2",0
"762",2,"two","no","2",1
"763",2,"two","no","2",0
"764",2,"two","no","2",0
"765",2,"two","no","2",0
"766",2,"two","no","2",1
"767",2,"two","no","2",2
"768",2,"two","no","2",0
"769",2,"two","no","2",0
"770",2,"two","no","2",0
"771",2,"two","no","2",0
"772",2,"two","no","2",0
"773",2,"two","no","2",2
"774",2,"two","no","2",0
"775",2,"two","no","2",0
"776",2,"two","no","2",2
"777",2,"two","no","2",0
"778",2,"two","no","2",1
"779",2,"two","no","2",0
"780",2,"two","no","2",2
"781",2,"two","no","2",0
"782",2,"two","no","2",0
"783",2,"two","no","2",0
"784",2,"two","no","2",0
"785",2,"two","no","2",0
"786",2,"two","no","2",0
"787",2,"two","no","2",0
"788",2,"two","no","2",2
"789",2,"two","no","2",0
"790",2,"two","no","2",1
"791",2,"two","no","2",0
"792",2,"two","no","2",0
"793",2,"two","no","2",0
"794",2,"two","no","2",0
"795",2,"two","no","2",0
"796",2,"two","no","2",0
"797",2,"two","no","2",2
"798",2,"two","no","2",0
"799",2,"two","no","2",0
"800",2,"two","no","2",2
"801",2,"two","no","2",0
"802",2,"two","no","4",2
"803",2,"two","no","4",0
"804",2,"two","no","4",1
"805",2,"two","no","4",0
"806",2,"two","no","4",2
"807",2,"two","no","4",0
"808",2,"two","no","4",1
"809",2,"two","no","4",2
"810",2,"two","no","4",2
"811",2,"two","no","4",4
"812",2,"two","no","4",2
"813",2,"two","no","4",0
"814",2,"two","no","4",5
"815",2,"two","no","4",3
"816",2,"two","no","4",0
"817",2,"two","no","4",1
"818",2,"two","no","4",0
"819",2,"two","no","4",0
"820",2,"two","no","4",0
"821",2,"two","no","4",0
"822",2,"two","no","4",0
"823",2,"two","no","4",1
"824",2,"two","no","4",0
"825",2,"two","no","4",0
"826",2,"two","no","4",2
"827",2,"two","no","4",2
"828",2,"two","no","4",0
"829",2,"two","no","4",1
"830",2,"two","no","4",1
"831",2,"two","no","4",2
"832",2,"two","no","4",0
"833",2,"two","no","4",2
"834",2,"two","no","4",2
"835",2,"two","no","4",2
"836",2,"two","no","4",0
"837",2,"two","no","4",0
"838",2,"two","no","4",0
"839",2,"two","no","4",3
"840",2,"two","no","4",2
"841",2,"two","no","4",1
"842",2,"two","no","4",0
"843",2,"two","no","4",2
"844",2,"two","no","4",3
"845",2,"two","no","4",0
"846",2,"two","no","4",3
"847",2,"two","no","4",2
"848",2,"two","no","4",1
"849",2,"two","no","4",2
"850",2,"two","no","4",0
"851",2,"two","no","4",0
"852",2,"two","no","4",1
"853",2,"two","no","4",0
"854",2,"two","no","4",0
"855",2,"two","no","4",0
"856",2,"two","no","4",0
"857",2,"two","no","4",3
"858",2,"two","no","4",2
"859",2,"two","no","4",0
"860",2,"two","no","4",3
"861",2,"two","no","4",2
"862",2,"two","no","4",0
"863",2,"two","no","4",0
"864",2,"two","no","4",2
"865",2,"two","no","4",2
"866",2,"two","no","4",1
"867",2,"two","no","4",0
"868",2,"two","no","4",0
"869",2,"two","no","4",2
"870",2,"two","no","4",0
"871",2,"two","no","4",2
"872",2,"two","no","4",3
"873",2,"two","no","4",1
"874",2,"two","no","4",2
"875",2,"two","no","4",2
"876",2,"two","no","4",0
"877",2,"two","no","4",2
"878",2,"two","no","4",2
"879",2,"two","no","4",0
"880",2,"two","no","4",4
"881",2,"two","no","4",3
"882",2,"two","no","4",0
"883",2,"two","no","4",2
"884",2,"two","no","4",0
"885",2,"two","no","4",2
"886",2,"two","no","4",0
"887",2,"two","no","4",1
"888",2,"two","no","4",0
"889",2,"two","no","4",2
"890",2,"two","no","4",0
"891",2,"two","no","4",0
"892",2,"two","no","4",1
"893",2,"two","no","4",2
"894",2,"two","no","4",0
"895",2,"two","no","4",0
"896",2,"two","no","4",3
"897",2,"two","no","4",0
"898",2,"two","no","4",0
"899",2,"two","no","4",2
"900",2,"two","no","4",3
"901",2,"two","no","4",0
"902",2,"two","no","8",0
"903",2,"two","no","8",4
"904",2,"two","no","8",3
"905",2,"two","no","8",1
"906",2,"two","no","8",4
"907",2,"two","no","8",3
"908",2,"two","no","8",0
"909",2,"two","no","8",2
"910",2,"two","no","8",5
"911",2,"two","no","8",0
"912",2,"two","no","8",5
"913",2,"two","no","8",2
"914",2,"two","no","8",3
"915",2,"two","no","8",1
"916",2,"two","no","8",2
"917",2,"two","no","8",3
"918",2,"two","no","8",3
"919",2,"two","no","8",3
"920",2,"two","no","8",2
"921",2,"two","no","8",0
"922",2,"two","no","8",1
"923",2,"two","no","8",3
"924",2,"two","no","8",0
"925",2,"two","no","8",1
"926",2,"two","no","8",1
"927",2,"two","no","8",2
"928",2,"two","no","8",4
"929",2,"two","no","8",2
"930",2,"two","no","8",4
"931",2,"two","no","8",2
"932",2,"two","no","8",1
"933",2,"two","no","8",1
"934",2,"two","no","8",2
"935",2,"two","no","8",2
"936",2,"two","no","8",2
"937",2,"two","no","8",2
"938",2,"two","no","8",3
"939",2,"two","no","8",0
"940",2,"two","no","8",1
