Pop,Theta,Growth,samplingSize,n.seg.sites
1,two,no,7,5
1,two,no,7,2
1,two,no,7,2
1,two,no,7,1
1,two,no,7,3
1,two,no,7,0
1,two,no,7,0
1,two,no,7,5
1,two,no,7,0
1,two,no,7,5
1,two,no,7,3
1,two,no,7,0
1,two,no,7,2
1,two,no,7,5
1,two,no,7,4
1,two,no,7,3
1,two,no,7,3
1,two,no,7,2
1,two,no,7,5
1,two,no,7,3
1,two,no,7,2
1,two,no,7,2
1,two,no,7,2
1,two,no,7,1
1,two,no,7,2
1,two,no,7,2
1,two,no,7,4
1,two,no,7,4
1,two,no,7,4
1,two,no,7,5
1,two,no,7,2
1,two,no,7,3
1,two,no,7,2
1,two,no,7,6
1,two,no,7,3
1,two,no,7,2
1,two,no,7,3
1,two,no,7,5
1,two,no,7,4
1,two,no,7,4
1,two,no,7,1
1,two,no,7,3
1,two,no,7,4
1,two,no,7,0
1,two,no,7,5
1,two,no,7,3
1,two,no,7,3
1,two,no,7,4
1,two,no,7,3
1,two,no,7,3
1,two,no,7,6
1,two,no,7,1
1,two,no,7,4
1,two,no,7,2
1,two,no,7,3
1,two,no,7,3
1,two,no,7,4
1,two,no,7,6
1,two,no,7,2
1,two,no,7,3
1,two,no,7,5
1,two,no,7,3
1,two,no,7,3
1,two,no,7,4
1,two,no,7,5
